"Data captured on:"	"25.08.2023 17:30:54"
"Gain setting:"	1
"Averaging frame frequency:"	0
"Edge width rising [s]:"	-1.073963E-3
"Edge width falling [s]:"	7.070632E-6


"Time [s]"	"Amplitude"
1.000000E-6	1.248169E-2
2.000000E-6	1.315308E-2
3.000000E-6	1.217651E-2
4.000000E-6	1.351929E-2
5.000000E-6	1.348877E-2
6.000000E-6	1.300049E-2
7.000000E-6	1.132202E-2
8.000000E-6	1.373291E-2
9.000000E-6	1.350403E-2
1.000000E-5	1.246643E-2
1.100000E-5	1.222229E-2
1.200000E-5	1.339722E-2
1.300000E-5	1.287842E-2
1.400000E-5	1.206970E-2
1.500000E-5	1.310730E-2
1.600000E-5	1.251221E-2
1.700000E-5	1.107788E-2
1.800000E-5	1.296997E-2
1.900000E-5	1.432800E-2
2.000000E-5	1.304626E-2
2.100000E-5	1.403809E-2
2.200000E-5	1.303101E-2
2.300000E-5	1.441956E-2
2.400000E-5	1.371765E-2
2.500000E-5	1.358032E-2
2.600000E-5	1.271057E-2
2.700000E-5	1.452637E-2
2.800000E-5	1.304626E-2
2.900000E-5	1.167297E-2
3.000000E-5	1.367187E-2
3.100000E-5	1.385498E-2
3.200000E-5	1.310730E-2
3.300000E-5	1.325989E-2
3.400000E-5	1.187134E-2
3.500000E-5	1.278687E-2
3.600000E-5	1.296997E-2
3.700000E-5	1.516724E-2
3.800000E-5	1.358032E-2
3.900000E-5	1.181030E-2
4.000000E-5	1.177979E-2
4.100000E-5	1.344299E-2
4.200000E-5	1.243591E-2
4.300000E-5	1.219177E-2
4.400000E-5	1.164246E-2
4.500000E-5	1.387024E-2
4.600000E-5	1.318359E-2
4.700000E-5	1.306152E-2
4.800000E-5	1.300049E-2
4.900000E-5	1.310730E-2
5.000000E-5	1.336670E-2
5.100000E-5	1.341248E-2
5.200000E-5	1.376343E-2
5.300000E-5	1.344299E-2
5.400000E-5	1.242065E-2
5.500000E-5	1.289368E-2
5.600000E-5	1.200867E-2
5.700000E-5	1.089478E-2
