"Data captured on:"	"25.08.2023 17:31:43"
"Gain setting:"	1
"Averaging frame frequency:"	0
"Edge width rising [s]:"	-1.072872E-3
"Edge width falling [s]:"	-1.072884E-3


"Time [s]"	"Amplitude"
1.000000E-6	1.100159E-2
2.000000E-6	1.063538E-2
3.000000E-6	1.214600E-2
4.000000E-6	1.148987E-2
5.000000E-6	1.168823E-2
6.000000E-6	1.226807E-2
7.000000E-6	1.206970E-2
8.000000E-6	1.228333E-2
9.000000E-6	1.043701E-2
1.000000E-5	1.226807E-2
1.100000E-5	1.089478E-2
1.200000E-5	1.042175E-2
1.300000E-5	1.216125E-2
1.400000E-5	1.022339E-2
1.500000E-5	1.039124E-2
1.600000E-5	1.052856E-2
1.700000E-5	1.132202E-2
1.800000E-5	1.257324E-2
1.900000E-5	1.181030E-2
2.000000E-5	1.307678E-2
2.100000E-5	1.107788E-2
2.200000E-5	1.188660E-2
2.300000E-5	1.133728E-2
2.400000E-5	1.196289E-2
2.500000E-5	1.129150E-2
2.600000E-5	1.123047E-2
2.700000E-5	1.127625E-2
2.800000E-5	1.257324E-2
2.900000E-5	1.072693E-2
3.000000E-5	1.104736E-2
3.100000E-5	1.126099E-2
3.200000E-5	1.287842E-2
3.300000E-5	1.202393E-2
3.400000E-5	1.170349E-2
3.500000E-5	1.092529E-2
3.600000E-5	1.202393E-2
3.700000E-5	1.181030E-2
3.800000E-5	1.353455E-2
3.900000E-5	1.167297E-2
4.000000E-5	1.271057E-2
4.100000E-5	1.045227E-2
4.200000E-5	1.171875E-2
4.300000E-5	1.130676E-2
4.400000E-5	1.087952E-2
4.500000E-5	1.179504E-2
4.600000E-5	1.077271E-2
4.700000E-5	1.318359E-2
4.800000E-5	1.071167E-2
4.900000E-5	1.017761E-2
5.000000E-5	1.130676E-2
5.100000E-5	1.063538E-2
5.200000E-5	1.104736E-2
5.300000E-5	1.084900E-2
5.400000E-5	9.948730E-3
5.500000E-5	1.135254E-2
5.600000E-5	1.007080E-2
5.700000E-5	1.394653E-2
